Date,Close,Ouv., Plus Haut,Plus Bas,Vol.,Variation %,log_return,return_lag_1,return_lag_2,return_lag_3,return_lag_5,volatility_10d,volatility_20d,volatility_60d
2005-06-15,4.65434,"4.638,46","4.654,34","4.638,46",,"-0,32%",-0.0032368909090221888,0.008585977592774352,-0.003471656683751809,0.0022001924615430704,0.001999905843482157,0.004819763068401427,0.004693069365077737,0.003923279403012985
2005-06-16,4.67773,"4.649,03","4.680,89","4.648,98",,"0,50%",0.005012831875367895,-0.0032368909090221888,0.008585977592774352,-0.003471656683751809,-0.002038736689848428,0.005128234690224024,0.004586409824359595,0.0039553330349182516
2005-06-17,4.6729,"4.675,08","4.681,72","4.670,58",,"-0,10%",-0.0010330855631277111,0.005012831875367895,-0.0032368909090221888,0.008585977592774352,0.0022001924615430704,0.0037798951685611,0.00460658571672832,0.003956313923814749
2005-06-20,4.66125,"4.654,28","4.663,18","4.651,92",,"-0,25%",-0.002496211449212198,-0.0010330855631277111,0.005012831875367895,-0.0032368909090221888,-0.003471656683751809,0.003927217375301913,0.004693655150227839,0.003977782235123873
2005-06-21,4.6579,"4.656,74","4.661,41","4.654,94",,"-0,07%",-0.0007189497205857134,-0.002496211449212198,-0.0010330855631277111,0.005012831875367895,0.008585977592774352,0.003942394341786104,0.004680420303835706,0.003979267104519153
2005-06-22,4.65403,"4.652,83","4.657,28","4.640,30",,"-0,08%",-0.000831191863085039,-0.0007189497205857134,-0.002496211449212198,-0.0010330855631277111,-0.0032368909090221888,0.003922750865964547,0.004603395119449983,0.003967132567248743
2005-06-23,4.63782,"4.647,99","4.658,49","4.637,82",,"-0,35%",-0.0034890826788279154,-0.000831191863085039,-0.0007189497205857134,-0.002496211449212198,0.005012831875367895,0.004039674999446624,0.004702104064321701,0.003976432473006975
2005-06-24,4.65072,"4.629,20","4.650,82","4.628,46",,"0,28%",0.0027776180742718143,-0.0034890826788279154,-0.000831191863085039,-0.0007189497205857134,-0.0010330855631277111,0.0040777371812156845,0.004461578219044915,0.0038404233791790783
2005-06-27,4.66801,"4.649,65","4.668,01","4.649,65",,"0,37%",0.003710810344421158,0.0027776180742718143,-0.0034890826788279154,-0.000831191863085039,-0.002496211449212198,0.004008756709535116,0.004296062680547294,0.003734713409213882
2005-06-28,4.66997,"4.659,60","4.670,46","4.659,03",,"0,04%",0.00041979101021502374,0.003710810344421158,0.0027776180742718143,-0.0034890826788279154,-0.0007189497205857134,0.0029428994193490955,0.0038433668318556815,0.003584068829847073
2005-06-29,4.66212,"4.648,77","4.662,12","4.646,76",,"-0,17%",-0.0016823673692661508,0.00041979101021502374,0.003710810344421158,0.0027776180742718143,-0.000831191863085039,0.0027892890979877975,0.003857807205346112,0.003596102666209164
2005-06-30,4.6697,"4.660,13","4.670,59","4.656,45",,"0,16%",0.0016245494806092769,-0.0016823673692661508,0.00041979101021502374,0.003710810344421158,-0.0034890826788279154,0.002297719435598186,0.00386817703896446,0.0035966339380251343
2005-07-01,4.64386,"4.620,96","4.643,86","4.618,86",,"-0,55%",-0.005548912832908673,0.0016245494806092769,-0.0016823673692661508,0.00041979101021502374,0.0027776180742718143,0.002860609556369197,0.003350805985662909,0.003698329707543209
2005-07-04,4.63104,"4.623,73","4.632,16","4.622,28",,"-0,28%",-0.0027644520511081044,-0.005548912832908673,0.0016245494806092769,-0.0016823673692661508,0.003710810344421158,0.002881305105681497,0.003407238296776202,0.0037293174149706683
2005-07-05,4.6261,"4.617,44","4.632,67","4.617,44",,"-0,11%",-0.0010672843813375214,-0.0027644520511081044,-0.005548912832908673,0.0016245494806092769,0.00041979101021502374,0.0028843323527824997,0.003414730354854375,0.0037379517832749035
2005-07-06,4.62264,"4.605,23","4.630,73","4.604,25",,"-0,07%",-0.0007482100613520997,-0.0010672843813375214,-0.0027644520511081044,-0.005548912832908673,-0.0016823673692661508,0.002883984543273884,0.0033808072306019633,0.003739277287577791
2005-07-07,4.62066,"4.610,35","4.620,66","4.608,12",,"-0,04%",-0.00042841842854486297,-0.0007482100613520997,-0.0010672843813375214,-0.0027644520511081044,0.0016245494806092769,0.002709489769318921,0.0033547838709573354,0.003733036174021609
2005-07-08,4.636,"4.613,34","4.636,00","4.613,34",,"0,33%",0.0033143734441105576,-0.00042841842854486297,-0.0007482100613520997,-0.0010672843813375214,-0.005548912832908673,0.0027831047602939894,0.003404903093150166,0.003746473237346262
2005-07-11,4.63946,"4.629,67","4.639,47","4.629,07",,"0,07%",0.0007460546777162222,0.0033143734441105576,-0.00042841842854486297,-0.0007482100613520997,-0.0027644520511081044,0.002443559079305942,0.003314736372071026,0.0037331986175536264
2005-07-12,4.64522,"4.619,92","4.645,22","4.619,14",,"0,12%",0.0012407537446516277,0.0007460546777162222,0.0033143734441105576,-0.00042841842854486297,-0.0010672843813375214,0.002495372988092726,0.0026701260793462736,0.003733304961602985
2005-07-13,4.65393,"4.633,00","4.653,93","4.633,00",,"0,19%",0.0018732900420157187,0.0012407537446516277,0.0007460546777162222,0.0033143734441105576,-0.0007482100613520997,0.0025654857495902303,0.002614175527495167,0.003733165223748591
2005-07-14,4.68229,"4.649,10","4.684,61","4.649,10",,"0,61%",0.006075282550829798,0.0018732900420157187,0.0012407537446516277,0.0007460546777162222,-0.00042841842854486297,0.0032160976129522877,0.002729737351873977,0.003788286517098904
2005-07-15,4.68968,"4.663,38","4.689,68","4.662,06",,"0,16%",0.0015770433604926858,0.006075282550829798,0.0018732900420157187,0.0012407537446516277,0.0033143734441105576,0.0024915628175007283,0.0027376776154207382,0.003764190574632446
2005-07-18,4.72064,"4.690,59","4.720,64","4.690,59",,"0,66%",0.006580033772662103,0.0015770433604926858,0.006075282550829798,0.0018732900420157187,0.0007460546777162222,0.002675901381528315,0.0030096003405010634,0.003830027885236038
2005-07-19,4.7591,"4.722,62","4.759,10","4.675,20",,"0,81%",0.008114191110152852,0.006580033772662103,0.0015770433604926858,0.006075282550829798,0.0012407537446516277,0.003082681234060048,0.0034207938268465314,0.003932333990904645
2005-07-20,4.80107,"4.759,71","4.801,07","4.753,91",,"0,88%",0.00878023500225749,0.008114191110152852,0.006580033772662103,0.0015770433604926858,0.0018732900420157187,0.0033160266310400806,0.0037937536636335157,0.004052377500547532
2005-07-21,4.88455,"4.793,85","4.888,84","4.791,72",,"1,74%",0.01723835278246303,0.00878023500225749,0.008114191110152852,0.006580033772662103,0.006075282550829798,0.00506526208644219,0.004986778533271929,0.004531371787157129
